Modo,Frequencia (cm-1)
1,12.7730
2,16.8990
3,28.0590
4,42.1170
5,44.0430
6,53.3860
7,55.9770
8,63.6880
9,68.3210
10,76.5730
11,83.4820
12,102.7900
13,104.8940
14,123.1620
15,125.2000
16,142.8870
17,145.4820
18,161.1670
19,171.9850
20,183.0660
21,199.2290
22,240.0620
23,244.8950
24,245.4830
25,247.8130
26,261.5820
27,264.2970
28,283.9800
29,294.1410
30,303.7510
31,326.5620
32,349.3930
33,350.1660
34,376.4210
35,376.6370
36,413.0680
37,422.1750
38,430.3650
39,431.8130
40,463.0450
41,466.8890
42,476.1190
43,498.8860
44,506.9030
45,510.9410
46,516.8240
47,517.6610
48,554.6930
49,559.2410
50,612.7310
51,621.7530
52,637.2910
53,637.7520
54,649.4560
55,651.3300
56,676.4600
57,677.0160
58,679.7180
59,682.2930
60,706.5270
61,706.5930
62,719.5380
63,721.9170
64,769.2040
65,770.1250
66,818.8880
67,822.0630
68,824.2820
69,824.5960
70,832.9670
71,833.1530
72,886.3810
73,887.1620
74,890.9580
75,891.5870
76,892.1150
77,899.6810
78,907.8130
79,907.8810
80,958.1820
81,963.9880
82,963.9890
83,968.4520
84,971.4010
85,971.8190
86,989.0630
87,989.2060
88,1008.9540
89,1016.0910
90,1065.1020
91,1066.2370
92,1082.8040
93,1086.4940
94,1130.2320
95,1130.6880
96,1145.6160
97,1145.8460
98,1170.2610
99,1180.2380
100,1180.5740
101,1185.4610
102,1237.5080
103,1247.8360
104,1259.7840
105,1267.3820
106,1300.4060
107,1306.1140
108,1311.3680
109,1318.1120
110,1319.6590
111,1325.2650
112,1341.9840
113,1344.8440
114,1369.1100
115,1377.5350
116,1397.0340
117,1397.2080
118,1460.2160
119,1461.5250
120,1471.7180
121,1474.0040
122,1475.8990
123,1482.9980
124,1490.6550
125,1504.1180
126,1520.5840
127,1522.1350
128,1558.9710
129,1564.9550
130,1583.6370
131,1585.2700
132,1610.9370
133,1611.1170
134,1626.2160
135,1626.7090
136,1627.3760
137,1629.7880
138,3115.5960
139,3115.6530
140,3179.2730
141,3179.3160
142,3185.0010
143,3185.0170
144,3194.4460
145,3194.4700
146,3198.2360
147,3198.2760
148,3201.7960
149,3201.7970
150,3208.4830
151,3208.5030
152,3216.6000
153,3216.6060
