Mode,AtomIndex,dx,dy,dz
1,1,0.0597,-0.0995,-0.01
1,2,0.0398,-0.0995,-0.0299
1,3,0.0896,-0.1195,0.0
1,4,0.0995,-0.1294,-0.01
1,5,0.1095,-0.1195,0.0299
1,6,0.1394,-0.1294,0.0398
1,7,0.0896,-0.0995,0.0398
1,8,0.1095,-0.0995,0.0597
1,9,0.0597,-0.0796,0.0299
1,10,0.0398,-0.0597,0.0398
1,11,0.0398,-0.0398,0.0398
1,12,-0.0199,-0.01,0.01
1,13,-0.0498,-0.0199,0.01
1,14,-0.0796,0.0199,-0.01
1,15,-0.0995,0.0,-0.01
1,16,-0.0995,0.0796,-0.0299
1,17,-0.1294,0.1195,-0.0398
1,18,-0.0796,0.0995,-0.0299
1,19,-0.0398,0.0498,-0.01
1,20,-0.0299,0.0697,-0.01
1,21,0.0398,-0.0796,0.0
1,22,0.01,-0.0498,0.0299
1,23,-0.1095,0.1792,-0.0597
1,24,-0.0299,-0.0697,0.0199
1,25,-0.1493,0.219,-0.0796
1,26,-0.0896,0.1991,-0.0597
1,27,-0.1095,-0.1195,-0.0299
1,28,-0.1394,-0.1294,-0.0398
1,29,-0.0597,-0.0995,0.01
1,30,-0.0398,-0.0995,0.0299
1,31,-0.0896,-0.1195,-0.0
1,32,-0.0995,-0.1294,0.01
1,33,-0.0896,-0.0995,-0.0398
1,34,-0.1095,-0.0995,-0.0597
1,35,-0.0597,-0.0796,-0.0299
1,36,-0.0398,-0.0597,-0.0398
1,37,-0.0398,-0.0398,-0.0398
1,38,0.0199,-0.01,-0.01
1,39,0.0498,-0.0199,-0.01
1,40,0.0796,0.0199,0.01
1,41,0.0995,0.0,0.01
1,42,0.0995,0.0796,0.0299
1,43,0.1294,0.1195,0.0398
1,44,0.0796,0.0995,0.0299
1,45,0.0398,0.0498,0.01
1,46,0.0299,0.0697,0.01
1,47,-0.0398,-0.0796,-0.0
1,48,-0.01,-0.0498,-0.0299
1,49,0.1095,0.1792,0.0597
1,50,0.0299,-0.0697,-0.0199
1,51,0.1493,0.219,0.0796
1,52,0.0896,0.1991,0.0597
1,53,0.0,-0.0697,0.0
2,1,0.0501,-0.0902,-0.0501
2,2,0.0401,-0.0902,-0.0702
2,3,0.0902,-0.1203,-0.0301
2,4,0.1102,-0.1503,-0.0301
2,5,0.1102,-0.1102,-0.01
2,6,0.1403,-0.1403,0.01
2,7,0.0902,-0.0702,-0.01
2,8,0.1002,-0.0601,0.01
2,9,0.0401,-0.0401,-0.0301
2,10,0.02,-0.0,-0.0301
2,11,0.0401,-0.01,-0.01
2,12,-0.0401,0.0301,-0.0401
2,13,-0.0802,0.0501,-0.0802
2,14,-0.1102,0.0601,-0.0702
2,15,-0.1403,0.0902,-0.1102
2,16,-0.0802,0.02,0.01
2,17,-0.0902,0.02,0.0301
2,18,-0.0301,-0.02,0.0601
2,19,-0.01,-0.02,0.0401
2,20,0.0301,-0.0501,0.0902
2,21,0.0301,-0.0501,-0.0501
2,22,-0.02,0.02,-0.0601
2,23,0.02,-0.0902,0.1704
2,24,-0.1002,0.0702,-0.1303
2,25,0.0,-0.1002,0.1904
2,26,0.0601,-0.1303,0.2205
2,27,0.1102,0.1102,-0.01
2,28,0.1403,0.1403,0.01
2,29,0.0501,0.0902,-0.0501
2,30,0.0401,0.0902,-0.0702
2,31,0.0902,0.1203,-0.0301
2,32,0.1102,0.1503,-0.0301
2,33,0.0902,0.0702,-0.01
2,34,0.1002,0.0601,0.01
2,35,0.0401,0.0401,-0.0301
2,36,0.02,0.0,-0.0301
2,37,0.0401,0.01,-0.01
2,38,-0.0401,-0.0301,-0.0401
