Modo,Frequencia (cm-1)
1,15.6090
2,23.3640
3,37.9340
4,48.9620
5,49.1940
6,54.4120
7,60.2350
8,69.6920
9,75.0630
10,84.4100
11,101.7660
12,122.7610
13,138.1930
14,143.3810
15,149.0130
16,181.4920
17,184.6910
18,204.8340
19,214.5950
20,253.2290
21,259.8450
22,260.2510
23,269.6570
24,281.5480
25,298.7760
26,316.1950
27,325.6700
28,332.3580
29,351.1390
30,359.4500
31,384.5460
32,395.9210
33,409.9490
34,410.9590
35,433.9930
36,443.2450
37,445.6600
38,462.0260
39,468.2150
40,511.3640
41,511.3710
42,524.5060
43,525.1290
44,539.4570
45,541.3960
46,546.6910
47,552.4360
48,584.0380
49,585.1890
50,642.3880
51,645.7540
52,646.0400
53,648.4390
54,657.4360
55,659.3710
56,668.3180
57,669.9770
58,687.1570
59,688.2150
60,702.8430
61,705.4510
62,706.6860
63,710.7590
64,762.4100
65,764.1910
66,818.9080
67,819.7490
68,827.6190
69,829.1130
70,830.7060
71,830.9030
72,835.7070
73,836.5680
74,883.7310
75,884.4540
76,896.6000
77,896.6070
78,897.6020
79,899.6800
80,955.6200
81,956.5340
82,963.0350
83,963.1430
84,970.7930
85,975.1180
86,980.1130
87,980.5380
88,1025.8340
89,1030.4920
90,1066.3250
91,1067.5670
92,1083.9850
93,1085.7890
94,1132.4150
95,1133.4850
96,1145.8610
97,1145.8620
98,1181.3520
99,1181.8060
100,1183.0260
101,1186.1960
102,1244.7190
103,1245.7900
104,1264.7940
105,1266.7870
106,1296.2200
107,1297.0770
108,1310.8400
109,1317.7620
110,1319.0490
111,1320.9390
112,1354.4870
113,1355.2400
114,1376.7500
115,1380.1070
116,1395.2210
117,1396.1120
118,1464.4300
119,1465.0210
120,1472.2640
121,1472.7420
122,1481.4150
123,1486.1690
124,1509.0810
125,1510.7440
126,1519.6370
127,1520.5270
128,1544.8690
129,1549.7950
130,1587.2920
131,1587.3130
132,1598.7210
133,1600.9220
134,1623.2470
135,1625.9410
136,1629.4170
137,1631.4670
138,3169.2420
139,3169.2820
140,3184.1540
141,3184.1700
142,3195.4140
143,3195.4420
144,3198.8830
145,3198.9090
146,3200.6110
147,3200.6260
148,3208.0100
149,3208.0110
150,3213.1400
151,3213.1430
152,3217.1940
153,3217.2040
