Mode,AtomIndex,dx,dy,dz
1,1,-0.0698,-0.1296,0.01
1,2,-0.0598,-0.1496,-0.0
1,3,-0.0997,-0.1396,0.01
1,4,-0.1097,-0.1695,0.01
1,5,-0.1097,-0.1097,0.0199
1,6,-0.1296,-0.1097,0.0199
1,7,-0.0897,-0.0698,0.0199
1,8,-0.0997,-0.0499,0.0299
1,9,-0.0598,-0.0698,0.0199
1,10,-0.0399,-0.0299,0.0199
1,11,-0.0399,-0.01,0.0199
1,12,0.0199,0.0,0.01
1,13,0.0499,-0.0299,0.0199
1,14,0.0798,0.01,0.01
1,15,0.0997,-0.0199,0.0299
1,16,0.0897,0.0798,-0.01
1,17,0.1097,0.1097,-0.0199
1,18,0.0598,0.1097,-0.0299
1,19,0.0299,0.0698,-0.0199
1,20,0.01,0.0997,-0.0299
1,21,-0.0499,-0.0997,0.01
1,22,-0.01,-0.0299,0.01
1,23,0.0698,0.1894,-0.0598
1,24,0.0399,-0.0897,0.0399
1,25,0.0997,0.2194,-0.0698
1,26,0.0499,0.2194,-0.0798
1,27,0.0499,-0.0997,-0.01
1,28,0.01,-0.0299,-0.01
1,29,-0.0399,-0.0897,-0.0399
1,30,0.0698,-0.1296,-0.01
1,31,0.0598,-0.1496,0.0
1,32,0.0997,-0.1396,-0.01
1,33,0.1097,-0.1695,-0.01
1,34,0.1097,-0.1097,-0.0199
1,35,0.1296,-0.1097,-0.0199
1,36,0.0897,-0.0698,-0.0199
1,37,0.0997,-0.0499,-0.0299
1,38,0.0598,-0.0698,-0.0199
1,39,0.0399,-0.0299,-0.0199
1,40,0.0399,-0.01,-0.0199
1,41,-0.0199,0.0,-0.01
1,42,-0.0499,-0.0299,-0.0199
1,43,-0.0798,0.01,-0.01
1,44,-0.0997,-0.0199,-0.0299
1,45,-0.0897,0.0798,0.01
1,46,-0.1097,0.1097,0.0199
1,47,-0.0598,0.1097,0.0299
1,48,-0.0299,0.0698,0.0199
1,49,-0.01,0.0997,0.0299
1,50,-0.0698,0.1894,0.0598
1,51,-0.0997,0.2194,0.0698
1,52,-0.0499,0.2194,0.0798
1,53,-0.0,-0.0897,0.0
2,1,-0.0503,-0.0503,-0.0804
2,2,-0.0302,-0.0503,-0.1106
2,3,-0.0804,-0.0804,-0.0603
2,4,-0.0905,-0.0905,-0.0804
2,5,-0.1005,-0.0804,-0.0201
2,6,-0.1206,-0.1005,-0.0101
2,7,-0.0804,-0.0603,-0.0101
2,8,-0.1005,-0.0704,0.0201
2,9,-0.0503,-0.0402,-0.0302
2,10,-0.0302,-0.0201,-0.0201
2,11,-0.0503,-0.0302,0.0201
2,12,0.0201,0.0101,-0.0201
2,13,0.0704,0.0503,-0.0804
2,14,0.0905,0.0704,-0.0704
2,15,0.1307,0.1005,-0.1206
2,16,0.0704,0.0302,0.0201
2,17,0.0905,0.0302,0.0402
2,18,0.0201,-0.0201,0.0905
2,19,-0.0,-0.0302,0.0704
2,20,-0.0402,-0.0704,0.1206
2,21,-0.0302,-0.0402,-0.0704
2,22,0.0,0.0,-0.0503
2,23,-0.0,-0.0804,0.191
2,24,0.0804,0.0804,-0.1508
2,25,0.0201,-0.0704,0.2111
2,26,-0.0503,-0.1307,0.2513
2,27,-0.0302,0.0402,-0.0704
2,28,0.0,-0.0,-0.0503
2,29,0.0804,-0.0804,-0.1508
2,30,-0.0503,0.0503,-0.0804
2,31,-0.0302,0.0503,-0.1106
2,32,-0.0804,0.0804,-0.0603
2,33,-0.0905,0.0905,-0.0804
2,34,-0.1005,0.0804,-0.0201
2,35,-0.1206,0.1005,-0.0101
2,36,-0.0804,0.0603,-0.0101
2,37,-0.1005,0.0704,0.0201
2,38,-0.0503,0.0402,-0.0302
2,39,-0.0302,0.0201,-0.0201
2,40,-0.0503,0.0302,0.0201
2,41,0.0201,-0.0101,-0.0201
2,42,0.0704,-0.0503,-0.0804
